Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY
2023-05-05,171.41746520996094,305.2262268066406,105.58737182617188,104.94063568115234,105.66000366210938,28.659395217895508,231.50991821289062,170.05999755859375,323.8800048828125,419.735595703125
2023-05-08,171.3483428955078,303.2611389160156,107.60040283203125,107.12751007080078,105.83000183105469,29.13005828857422,231.99725341796875,171.7899932861328,326.1400146484375,424.5529479980469
2023-05-09,169.63978576660156,301.63995361328125,107.30218505859375,106.71002197265625,106.62000274658203,28.550474166870117,232.0966796875,169.14999389648438,324.8699951171875,420.29486083984375
2023-05-10,171.40757751464844,306.8572998046875,111.61653900146484,111.08378601074219,110.19000244140625,28.86425018310547,231.80828857421875,168.5399932861328,322.989990234375,427.6925354003906
2023-05-11,171.59524536132812,304.69561767578125,116.20924377441406,115.87505340576172,112.18000030517578,28.557470321655273,234.50347900390625,172.0800018310547,322.6400146484375,427.32952880859375
2023-05-12,170.66561889648438,303.5755920410156,117.22320556640625,116.80946350097656,110.26000213623047,28.319639205932617,232.5343017578125,167.97999572753906,322.489990234375,427.3393249511719
2023-05-15,170.171142578125,304.0570068359375,116.26887512207031,115.81541442871094,111.19999694824219,28.93219566345215,237.55674743652344,166.35000610351562,323.5299987792969,427.41802978515625
2023-05-16,170.171142578125,306.2972106933594,119.38037872314453,118.79752349853516,113.4000015258789,29.192012786865234,237.5169677734375,166.52000427246094,323.75,429.5230712890625
2023-05-17,170.7843017578125,309.19219970703125,120.76216888427734,120.1196060180664,115.5,30.15631675720215,241.1669464111328,173.86000061035156,327.3900146484375,430.3298034667969
2023-05-18,173.11827087402344,313.6429443359375,122.79011535644531,122.09774780273438,118.1500015258789,31.655241012573242,245.50314331054688,176.88999938964844,329.760009765625,430.7428894042969
2023-05-19,173.22703552246094,313.4657897949219,122.52171325683594,122.02816009521484,116.25,31.241540908813477,244.29977416992188,180.13999938964844,330.3900146484375,435.1595764160156
2023-05-22,172.27764892578125,316.26226806640625,125.12623596191406,124.30450439453125,115.01000213623047,31.153600692749023,246.9651336669922,188.8699951171875,329.1300048828125,426.9065246582031
2023-05-23,169.66677856445312,310.4328918457031,122.56147766113281,121.829345703125,114.98999786376953,30.665950775146484,245.3937530517578,185.77000427246094,323.1099853515625,416.302490234375
2023-05-24,169.94369506835938,309.04449462890625,120.92122650146484,120.17925262451172,116.75,30.51605987548828,247.8502960205078,182.89999389648438,320.20001220703125,418.8206787109375
2023-05-25,171.08099365234375,320.9296875,123.6152114868164,122.7438735961914,115.0,37.95271301269531,251.31130981445312,184.47000122070312,319.0199890136719,420.3355407714844
